core_str,trait_name,trait_value,sample_size,hit_count,hit_rate_pct,baseline_rate_pct,relative_lift_x,lift_pct_points,confidence_score,sample_tier,meets_signal_floor,usable_broad_seed_signal,usable_tiebreak_seed_signal
027,seed_sorted,2455,114,3,2.632,0.361,7.292,2.271,0.024855,STABLE_100_249,False,False,False
027,seed_sorted,0344,115,3,2.609,0.361,7.229,2.248,0.024389,STABLE_100_249,False,False,False
027,seed_sorted,1589,213,4,1.878,0.361,5.204,1.517,0.01834,STABLE_100_249,False,False,False
027,seed_digit_family,1589,213,4,1.878,0.361,5.204,1.517,0.01834,STABLE_100_249,False,False,False
027,seed_sorted,3344,50,2,4.0,0.361,11.084,3.639,0.015991,CANDIDATE_50_99,False,False,False
027,seed_sorted,0148,241,4,1.66,0.361,4.599,1.299,0.01388,STABLE_100_249,False,False,False
027,seed_digit_family,0148,241,4,1.66,0.361,4.599,1.299,0.01388,STABLE_100_249,False,False,False
027,seed_sorted,0779,98,2,2.041,0.361,5.655,1.68,0.007383,CANDIDATE_50_99,False,False,False
027,seed_sorted,1447,98,2,2.041,0.361,5.655,1.68,0.007383,CANDIDATE_50_99,False,False,False
027,seed_sorted,0046,99,2,2.02,0.361,5.598,1.659,0.00729,CANDIDATE_50_99,False,False,False
027,seed_digit_family,157,318,4,1.258,0.361,3.486,0.897,0.007264,STRONG_STABLE_250_PLUS,False,False,False
027,seed_digit_family,079,319,4,1.254,0.361,3.475,0.893,0.007209,STRONG_STABLE_250_PLUS,False,False,False
027,seed_digit_family,249,325,4,1.231,0.361,3.41,0.87,0.006893,STRONG_STABLE_250_PLUS,False,False,False
027,seed_sorted,0069,102,2,1.961,0.361,5.433,1.6,0.006893,STABLE_100_249,False,False,False
027,seed_sorted,1378,204,3,1.471,0.361,4.075,1.11,0.006789,STABLE_100_249,False,False,False
027,seed_digit_family,1378,204,3,1.471,0.361,4.075,1.11,0.006789,STABLE_100_249,False,False,False
027,seed_sorted,0566,103,2,1.942,0.361,5.381,1.581,0.006745,STABLE_100_249,False,False,False
027,seed_sorted,3448,104,2,1.923,0.361,5.329,1.562,0.0066,STABLE_100_249,False,False,False
027,seed_digit_family,034,332,4,1.205,0.361,3.339,0.844,0.006546,STRONG_STABLE_250_PLUS,False,False,False
027,seed_sorted,3567,210,3,1.429,0.361,3.959,1.068,0.006345,STABLE_100_249,False,False,False
027,seed_digit_family,3567,210,3,1.429,0.361,3.959,1.068,0.006345,STABLE_100_249,False,False,False
027,seed_sorted,1679,211,3,1.422,0.361,3.94,1.061,0.006274,STABLE_100_249,False,False,False
027,seed_digit_family,1679,211,3,1.422,0.361,3.94,1.061,0.006274,STABLE_100_249,False,False,False
027,seed_sorted,0277,107,2,1.869,0.361,5.179,1.508,0.006193,STABLE_100_249,False,False,False
027,seed_highlow,LHHH,5738,36,0.627,0.361,1.739,0.267,0.006049,STRONG_STABLE_250_PLUS,True,True,True
067,seed_sorted,2458,221,6,2.715,0.36,7.546,2.355,0.074649,STABLE_100_249,False,False,False
067,seed_digit_family,2458,221,6,2.715,0.36,7.546,2.355,0.074649,STABLE_100_249,False,False,False
067,seed_sorted,1257,228,5,2.193,0.36,6.095,1.833,0.036012,STABLE_100_249,False,False,False
067,seed_digit_family,1257,228,5,2.193,0.36,6.095,1.833,0.036012,STABLE_100_249,False,False,False
067,seed_sorted,0568,246,5,2.033,0.36,5.649,1.673,0.030464,STABLE_100_249,False,False,False
067,seed_digit_family,0568,246,5,2.033,0.36,5.649,1.673,0.030464,STABLE_100_249,False,False,False
067,seed_sorted,1569,190,4,2.105,0.36,5.851,1.745,0.02365,STABLE_100_249,False,False,False
067,seed_digit_family,1569,190,4,2.105,0.36,5.851,1.745,0.02365,STABLE_100_249,False,False,False
067,seed_sorted,4569,236,4,1.695,0.36,4.711,1.335,0.014567,STABLE_100_249,False,False,False
067,seed_digit_family,4569,236,4,1.695,0.36,4.711,1.335,0.014567,STABLE_100_249,False,False,False
067,seed_sorted,0144,94,2,2.128,0.36,5.913,1.768,0.007769,CANDIDATE_50_99,False,False,False
067,seed_sorted,2688,96,2,2.083,0.36,5.79,1.724,0.007576,CANDIDATE_50_99,False,False,False
067,seed_digit_family,267,328,4,1.22,0.36,3.389,0.86,0.006752,STRONG_STABLE_250_PLUS,False,False,False
067,seed_sorted,0566,103,2,1.942,0.36,5.397,1.582,0.00675,STABLE_100_249,False,False,False
067,seed_sorted,1678,207,3,1.449,0.36,4.028,1.089,0.006564,STABLE_100_249,False,False,False
067,seed_digit_family,1678,207,3,1.449,0.36,4.028,1.089,0.006564,STABLE_100_249,False,False,False
067,seed_sorted,1488,106,2,1.887,0.36,5.244,1.527,0.00633,STABLE_100_249,False,False,False
067,seed_sorted,1589,213,3,1.408,0.36,3.915,1.049,0.006145,STABLE_100_249,False,False,False
067,seed_digit_family,1589,213,3,1.408,0.36,3.915,1.049,0.006145,STABLE_100_249,False,False,False
067,seed_sorted,2667,108,2,1.852,0.36,5.147,1.492,0.006071,STABLE_100_249,False,False,False
067,seed_sorted,3557,109,2,1.835,0.36,5.1,1.475,0.005947,STABLE_100_249,False,False,False
067,seed_sorted,5778,111,2,1.802,0.36,5.008,1.442,0.005709,STABLE_100_249,False,False,False
067,seed_sorted,5789,222,3,1.351,0.36,3.756,0.992,0.005575,STABLE_100_249,False,False,False
067,seed_digit_family,5789,222,3,1.351,0.36,3.756,0.992,0.005575,STABLE_100_249,False,False,False
067,seed_sorted,1139,114,2,1.754,0.36,4.876,1.395,0.005377,STABLE_100_249,False,False,False
138,seed_sorted,1349,225,5,2.222,0.351,6.328,1.871,0.037249,STABLE_100_249,False,False,False
138,seed_digit_family,1349,225,5,2.222,0.351,6.328,1.871,0.037249,STABLE_100_249,False,False,False
138,seed_sorted,2799,98,3,3.061,0.351,8.717,2.71,0.033812,CANDIDATE_50_99,False,False,False
138,seed_sorted,0334,104,3,2.885,0.351,8.214,2.533,0.030388,STABLE_100_249,False,False,False
138,seed_digit_family,034,332,5,1.506,0.351,4.288,1.155,0.015583,STRONG_STABLE_250_PLUS,False,False,False
138,seed_sorted,0256,233,4,1.717,0.351,4.888,1.366,0.015097,STABLE_100_249,False,False,False
138,seed_digit_family,0256,233,4,1.717,0.351,4.888,1.366,0.015097,STABLE_100_249,False,False,False
138,seed_sorted,5579,94,2,2.128,0.351,6.059,1.776,0.007804,CANDIDATE_50_99,False,False,False
138,seed_sorted,0019,97,2,2.062,0.351,5.871,1.711,0.007519,CANDIDATE_50_99,False,False,False
138,seed_sorted,1447,98,2,2.041,0.351,5.811,1.69,0.007427,CANDIDATE_50_99,False,False,False
138,seed_digit_family,013,318,4,1.258,0.351,3.582,0.907,0.007345,STRONG_STABLE_250_PLUS,False,False,False
138,seed_sorted,6778,100,2,2.0,0.351,5.695,1.649,0.007246,STABLE_100_249,False,False,False
